Item,Ingredients,Diet,Protein,Carbs,Fats,Sweet,Bitter,Spicy,Sour,Dessert,Main-course,Starter,North-indian,South-indian
Masor Koni,fish tomato green chilies ginger garlic turmeric powder oil salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Pakhala,cooked rice water,0,1,1,1,0,0,1,0,0,1,0,1,0
Prawn malai curry,prawns coconut milk tomatoes ginger garlic green chilies turmeric powder sugar salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Red Rice,red rice water,0,1,1,1,0,0,0,0,0,1,0,1,0
Shukto,Bitter gourd vegetables potato drumstick pumpkin etc. mustard paste milk spices,0,1,1,1,0,1,0,1,0,1,0,1,0
Hot Dogs,Hot dog sausages hot dog buns condiments ketchup mustard relish onions etc.,1,1,1,1,0,0,1,0,0,1,0,0,0
French Fries,Potatoes oil salt,0,1,1,1,0,0,0,0,0,1,0,0,0
Chicken Tenders,Chicken breast strips flour eggs breadcrumbs seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Pizza,Pizza dough tomato sauce cheese toppings pepperoni vegetables etc.,1,1,1,1,0,0,1,0,0,1,0,0,0
Burgers,Ground beef patties burger buns lettuce tomato onion cheese condiments,1,1,1,1,0,0,1,0,0,1,0,0,0
Meatloaf,Ground beef breadcrumbs eggs onions ketchup seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Macaroni and Cheese,Macaroni pasta cheese cheddar mozzarella etc. milk butter flour seasoning,0,1,1,1,0,0,0,0,0,1,0,0,0
Grilled Cheese Sandwiches,Bread cheese cheddar American etc. butter,0,1,1,1,0,0,0,0,0,1,0,0,0
Pot Roast,Beef roast potatoes carrots onions beef broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Tater Tots,Potatoes flour seasoning oil,0,1,1,1,0,0,0,0,0,1,0,0,0
Fried Chicken,Chicken pieces flour eggs buttermilk seasoning oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Potato Chips,Potatoes oil salt,0,1,1,1,0,0,0,0,0,1,0,0,0
Barbecue Ribs,Pork ribs barbecue sauce seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Pulled Pork,Pork shoulder barbecue sauce seasoning buns,1,1,0,1,0,0,1,0,0,1,0,0,0
Chili,Ground beef onions bell peppers kidney beans tomatoes tomato paste chili powder cumin garlic salt,1,1,1,1,0,0,1,0,0,1,0,0,0
Buffalo Wings,Chicken wings hot sauce butter vinegar Worcestershire sauce garlic powder salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Eggs Benedict,English muffins Canadian bacon poached eggs hollandaise sauce salt pepper,1,1,1,1,0,0,0,0,0,1,0,0,0
Reuben,Rye bread corned beef Swiss cheese sauerkraut Russian dressing,1,1,1,1,0,0,0,0,0,1,0,0,0
Gumbo,Andouille sausage chicken shrimp onion bell pepper celery okra tomatoes broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Charleston Red Rice,Rice bacon sausage bell pepper onion garlic tomatoes broth salt pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Chicken Bog,Chicken rice smoked sausage onion celery garlic salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Dirty Rice,Chicken livers gizzards ground pork onion bell pepper celery garlic rice broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Hawaiian Haystack,Cooked rice chicken gravy chow mein noodles pineapple coconut cheese almonds,1,1,1,1,0,0,1,0,0,1,0,0,0
Hoppin' John,Black-eyed peas rice bacon onion garlic broth seasoning,0,1,1,1,0,0,1,0,0,1,0,0,0
Jambalaya,Andouille sausage chicken shrimp onion bell pepper celery garlic tomatoes rice broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Rice and Gravy,Rice meat drippings flour broth seasoning salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Red Beans and Rice,Red beans rice smoked sausage onion bell pepper celery garlic broth seasoning,0,1,1,1,0,0,1,0,0,1,0,0,0
Shrimp Creole,Shrimp onion bell pepper celery garlic tomatoes broth seasoning salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Shrimp Creole,Shrimp onion bell pepper celery garlic tomatoes broth seasoning salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Spanish Rice,Rice onion bell pepper tomatoes garlic broth seasoning salt pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Bologna Sausage,Pork beef water salt sugar dextrose sodium nitrate flavorings,1,1,1,1,0,0,1,0,0,1,0,0,0
Breakfast Sausage,Ground pork salt pepper sage thyme rosemary nutmeg ginger,1,1,1,1,0,0,1,0,0,1,0,0,0
Chaudin,Pork intestines liver onions bell pepper celery garlic parsley breadcrumbs seasoning,1,1,0,1,0,0,1,0,0,1,0,0,0
Goetta,Pork shoulder beef chuck oats onion salt pepper thyme bay leaves,1,1,1,1,0,0,1,0,0,1,0,0,0
Half-smoke,Beef pork spices,1,1,0,1,0,0,1,0,0,1,0,0,0
Hot link (sausage),Pork beef spices,1,1,0,1,0,0,1,0,0,1,0,0,0
Lebanon bologna,Beef beef hearts beef tongue beef tripe pork chicken sugar salt vinegar lactic acid,1,1,0,1,0,0,1,0,0,1,0,0,0
Maxwell Street Polish,Polish sausage bun onions pickles,1,1,1,1,0,0,1,0,0,1,0,0,0
Polish Boy,Kielbasa bun French fries coleslaw barbecue sauce hot sauce,1,1,1,1,1,0,1,0,0,1,0,0,0
Yangzhou fried rice,Rice eggs peas carrots pork shrimp green onion soy sauce sesame oil salt pepper,0,1,1,1,1,0,1,0,0,1,0,0,0
Scallion pancake,Flour water salt green onions oil,0,1,1,1,1,0,1,0,0,1,1,0,0
Braised pork belly,Pork belly soy sauce sugar cooking wine ginger garlic scallion,1,1,1,1,1,0,1,1,0,1,0,0,0
Sweet and sour spare ribs,Pork ribs soy sauce vinegar sugar ketchup hoisin sauce pineapple bell pepper onion garlic salt,1,1,0,1,1,0,1,1,0,1,0,0,0
Sichuan hot pot,Meat vegetables tofu mushrooms dumplings noodles chili oil broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Dan Dan noodles,Noodles minced pork chili oil sesame paste soy sauce garlic ginger green onions,0,1,1,1,0,0,1,0,0,1,0,0,0
Latiaozi,Rice noodles sauce chili oil vinegar soy sauce sugar sesame oil salt,1,1,1,1,0,0,1,0,0,1,0,0,0
Roast suckling pig,Suckling pig salt pepper vinegar soy sauce hoisin sauce garlic ginger sugar,1,1,1,1,1,0,1,0,0,1,0,0,0
Empanadas,Dough ground beef onion bell pepper garlic cumin paprika oregano raisins olives hard-boiled egg,1,1,1,1,0,0,1,0,0,1,0,0,0
Ceviche,Raw fish lime juice onion chili peppers cilantro salt,1,1,1,1,0,0,1,1,0,1,0,0,0
Asado,Beef ribs sausage sweetbreads blood sausage vegetables chimichurri sauce,1,1,1,1,0,0,1,0,0,1,0,0,0
Feijoada,Black beans pork meat bacon sausage onions garlic bay leaves orange peels,1,1,1,1,0,0,1,0,0,1,0,0,0
Arepas,Cornmeal water salt butter cheese meats avocado eggs,0,1,1,1,1,0,1,0,0,1,0,0,0
Churrasco,Beef steak chimichurri sauce,1,1,1,1,0,0,1,0,0,1,0,0,0
Lomo Saltado,Beef loin tomatoes onions yellow chili peppers soy sauce vinegar garlic cumin fries,1,1,1,1,0,0,1,0,0,1,0,0,0
Chimichurri,Parsley oregano garlic vinegar oil red pepper flakes salt pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Moqueca,Fish or shrimp coconut milk dendê oil garlic onions tomatoes cilantro lime juice,1,1,1,1,0,0,1,0,0,1,0,0,0
Ajiaco,Chicken broth chicken potatoes corn capers sour cream avocado guascas herbs,1,1,1,1,0,0,1,0,0,1,0,0,0
Tacu Tacu,Rice beans onions garlic aji amarillo pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Milanesa,Thin slice of beef chicken or veal bread crumbs eggs salt pepper garlic lemon,1,1,1,1,0,0,1,0,0,1,0,0,0
Cuy (Guinea Pig),Guinea pig herbs aji peppers garlic vinegar cumin pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Tostones,Green plantains oil salt,0,1,1,1,0,0,1,0,0,1,0,0,0
Anticuchos,Beef hearts aji panca garlic cumin vinegar soy sauce,1,1,1,1,0,0,1,0,0,1,0,0,0
Sopa de Mondongo,Tripe onion tomato cilantro aji pepper garlic oregano cumin potatoes carrots green peas,1,1,1,1,0,0,1,0,0,1,0,0,0
Parrillada,Beef ribs chorizo blood sausage sweetbread ribs vegetables chimichurri sauce,1,1,1,1,0,0,1,0,0,1,0,0,0
Caldinho de Feijão,Black beans onion garlic bay leaves cumin parsley chives lime juice orange pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Bolinho de Bacalhau,Salted cod potatoes eggs flour garlic parsley pepper oil for frying,1,1,1,1,0,0,1,0,0,1,0,0,0
Causa,Yellow potatoes lime juice aji amarillo chili paste oil tuna or chicken mayonnaise avocado,0,1,1,1,0,0,1,0,0,1,0,0,0
Bibimbap,Rice beef spinach carrots mushrooms zucchini cucumbers bean sprouts fern bracken egg gochujang sauce sesame oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Kimchi,Chinese cabbage Korean radish salt scallions ginger garlic fish sauce or salted shrimp pepper flakes sugar,0,1,1,0,1,0,1,1,0,1,0,0,0
Bulgogi,Thinly sliced beef soy sauce sugar sesame oil garlic pepper green onions mushrooms carrots onions,1,1,1,1,0,0,1,0,0,1,0,0,0
Japchae,Sweet potato starch noodles soy sauce sugar sesame oil garlic onions carrots spinach mushrooms scallions,0,1,1,1,1,0,1,0,0,1,0,0,0
Kimchi Jjigae,Kimchi pork tofu onion garlic green onions mushrooms pork broth gochugaru,0,1,1,1,0,0,1,1,0,1,0,0,0
Samgyeopsal,Pork belly lettuce leaves garlic cloves green chili peppers ssamjang or gochujang soy sauce sesame oil kimchi,1,1,1,1,0,0,1,0,0,1,0,0,0
Tteokbokki,Rice cakes fish cakes onion scallions eggs gochujang soy sauce sugar garlic water,0,1,1,1,0,0,1,0,0,1,0,0,0
Galbi,Beef short ribs soy sauce sugar garlic green onions sesame oil black pepper pear juice honey kiwi,1,1,1,1,0,0,1,0,0,1,0,0,0
Sundubu Jjigae,Soft tofu clams or beef or seafood mushrooms onion garlic green onions soy sauce chili powder sesame oil gochujang,1,1,1,1,0,0,1,1,0,1,0,0,0
Gimbap,Rice seaweed strips ham or beef strips carrots spinach pickled radish eggs,1,1,1,1,1,0,1,0,0,1,0,0,0
Ceviche,White fish lime juice lemon juice red onion garlic aji amarillo cilantro salt pepper corn lettuce,1,1,1,1,0,0,1,1,0,1,0,0,0
Risotto,Arborio rice chicken or vegetable broth butter olive oil onion garlic white wine Parmesan cheese salt pepper,0,1,1,1,0,0,0,1,0,1,0,0,0
Haggis,Sheep's heart liver and lungs onions oatmeal suet spices salt pepper stock,1,1,1,1,0,0,1,0,0,1,0,0,0
Bratwurst,Ground pork or veal or beef onion garlic nutmeg salt pepper beer mustard sauerkraut,1,1,1,1,0,0,1,0,0,1,0,0,0
Wiener Schnitzel,Veal cutlets flour eggs breadcrumbs oil lemon parsley capers anchovies,1,1,1,1,0,0,1,0,0,1,0,0,0
Quiche Lorraine,Pie crust eggs cream bacon Swiss cheese salt pepper nutmeg,1,1,1,1,1,0,0,1,0,1,0,0,0
Kebabs,Meat or vegetables marinade or seasoning skewers,1,1,1,1,0,0,1,0,0,1,0,0,0
Poutine,French fries cheese curds gravy,1,1,1,1,0,0,1,0,0,1,0,0,0
Spanakopita,Phyllo dough spinach feta cheese onions garlic dill eggs olive oil salt pepper,0,1,1,1,1,0,1,0,0,1,0,0,0
Fideuà,Short thin pasta seafood (shrimp squid mussels) fish stock onions tomatoes garlic saffron paprika olive oil lemon wedges,1,1,1,1,0,0,1,0,0,1,0,0,0
Rösti,Potatoes butter salt pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Steak Tartare,Raw beef capers onions parsley Worcestershire sauce mustard ketchup Tabasco sauce cognac egg yolk,1,1,1,1,0,0,1,0,0,1,0,0,0
Pirozhki,Yeast dough beef cabbage eggs onions garlic dill parsley salt pepper,1,1,1,1,1,0,1,0,0,1,0,0,0
Carpaccio,Beef fillet olive oil lemon juice capers Parmesan cheese arugula salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Maultaschen,Pasta dough beef spinach onions garlic nutmeg salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Bouillabaisse,Various fish shellfish tomatoes onions garlic fennel saffron orange zest olive oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Moules Frites,Mussels white wine shallots garlic parsley butter fries,1,1,1,1,0,0,1,0,0,1,0,0,0
Tapas,Various ingredients like olives cheese ham chorizo patatas bravas gambas al ajillo mushrooms in garlic sauce calamari garlic shrimp croquettes etc.,1,1,1,1,0,0,1,0,0,1,0,0,0
Smørrebrød,Rye bread butter pickled herring smoked salmon roast beef liver pâté boiled eggs cucumbers tomatoes lettuce radishes chives parsley,1,1,1,1,0,0,1,0,0,1,0,0,0
Biscuits and Gravy,Biscuits flour baking powder salt sugar butter buttermilk Gravy sausage flour milk salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
New England Clam Bake,Clams mussels lobster corn potatoes onions garlic butter salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Nachos,Tortilla chips cheese ground beef beans salsa guacamole sour cream jalapeños,0,1,1,1,0,0,1,0,0,1,0,0,0
Reuben Sandwich,Rye bread corned beef Swiss cheese sauerkraut Thousand Island dressing,1,1,1,1,0,0,0,1,0,1,0,0,0
Texas Chili,Beef tomatoes onions garlic chili powder cumin paprika cayenne pepper beef broth beans (optional),1,1,1,1,0,0,1,0,0,1,0,0,0
Cobb Salad,Lettuce tomatoes bacon avocado eggs blue cheese chicken breast green onions chives red wine vinaigrette dressing,0,1,1,1,1,0,1,1,0,1,0,0,0
Montreal Smoked Meat Sandwich,Rye bread Montreal smoked meat yellow mustard pickle slices,1,1,1,1,0,0,0,1,0,1,0,0,0
Shrimp and Grits,Shrimp grits butter garlic cheese milk salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Monte Cristo Sandwich,Sliced bread ham turkey Swiss cheese egg milk salt pepper mustard,1,1,1,1,1,0,0,0,0,1,0,0,0
Sushi,Sushi rice nori sheets fish (tuna salmon yellowtail etc.) vegetables (cucumber avocado carrot etc.) soy sauce wasabi pickled ginger,1,1,1,1,0,0,0,1,0,1,0,0,0
Ramen,Ramen noodles broth (chicken pork miso etc.) soy sauce mirin sake toppings (chashu pork eggs green onions seaweed bamboo shoots etc.),1,1,1,1,0,0,1,0,0,1,0,0,0
Tempura,Seafood (shrimp squid etc.) vegetables (sweet potato onion zucchini etc.) tempura batter (flour egg ice water) vegetable oil soy sauce tempura dipping sauce,1,1,1,1,0,0,0,0,0,1,0,0,0
Sashimi,Sliced raw fish (tuna salmon yellowtail etc.) soy sauce wasabi pickled ginger,1,1,1,1,0,0,0,1,0,1,0,0,0
Yakitori,Skewered and grilled chicken or other meat or vegetables,1,1,1,1,0,0,1,0,0,1,0,0,0
Udon,Udon noodles broth (dashi soy sauce mirin sake) toppings (tempura shrimp vegetables green onions kamaboko fish cake etc.),1,1,1,1,0,0,1,0,0,1,0,0,0
Tonkatsu,Pork loin or pork fillet flour egg breadcrumbs vegetable oil cabbage tonkatsu sauce,1,1,1,1,0,0,0,0,0,1,0,0,0
Okonomiyaki,Batter (flour water eggs cabbage yam or grated nagaimo) toppings (sliced pork belly octopus squid shrimp vegetables green onions pickled ginger tenkasu bonito flakes nori mayonnaise okonomiyaki sauce),1,1,1,1,0,0,1,1,0,1,0,0,0
Miso Soup,Miso paste dashi stock (kombu seaweed bonito flakes) tofu wakame seaweed green onions,0,1,1,1,0,0,1,1,0,1,0,0,0
Takoyaki,Batter (flour eggs dashi) octopus tempura scraps pickled ginger green onions takoyaki sauce Worcestershire sauce mayonnaise aonori bonito flakes,1,1,1,1,1,0,1,0,0,1,0,0,0
Khorkhog,Meat (mutton beef goat) vegetables (potatoes carrots onions etc.) water or broth salt,1,1,0,1,0,0,1,0,0,1,0,0,0
Buuz,Dough (flour water salt) filling (ground meat onions garlic spices),1,1,0,1,0,0,1,0,0,1,0,0,0
Khuushuur,Dough (flour water salt) filling (ground meat onions garlic spices),1,1,0,1,0,0,1,0,0,1,0,0,0
Bantan,Meat (mutton beef goat) flour water salt,1,1,0,1,0,0,1,0,0,1,0,0,0
Tsuivan,Noodles (homemade or store-bought) meat (mutton beef goat) vegetables (carrots onions cabbage etc.) oil salt soy sauce,1,1,0,1,0,0,1,0,0,1,0,0,0
Bansh,Dough (flour water salt) filling (ground meat onions garlic spices),1,1,0,1,0,0,1,0,0,1,0,0,0
Guriltai Shul,Lamb or beef onions garlic oil salt,1,1,0,1,0,0,1,0,0,1,0,0,0
Khoorshoor,Dough (flour water salt) filling (ground meat onions garlic spices),1,1,0,1,0,0,1,0,0,1,0,0,0
Boodog,Marmot or goat meat vegetables hot stones,1,1,0,1,0,0,1,0,0,1,0,0,0
Hainanese Chicken Rice,Chicken rice garlic ginger chicken stock salt vegetable oil,1,1,1,1,0,0,1,1,0,1,0,0,0
Chili Crab,Mud crabs chili sauce tomato paste egg ketchup vinegar sugar ginger garlic eggs soy sauce oyster sauce cornstarch water spring onions,1,1,1,1,0,0,1,1,0,1,0,0,0
Laksa,Rice noodles coconut milk chicken or shrimp broth chicken or shrimp tofu bean sprouts fish cake prawns hard-boiled egg laksa paste lime leaves sambal belacan,1,1,1,1,0,0,1,1,0,1,0,0,0
Char Kway Teow,Flat rice noodles dark soy sauce light soy sauce chili prawns Chinese lap cheong (sausage) fish cakes bean sprouts chives cockles belachan sambal fried egg,1,1,1,1,0,0,1,1,0,1,0,0,0
Hainanese Pork Chop,Pork chops ginger garlic soy sauce oyster sauce sesame oil sugar cornstarch salt pepper,1,1,1,1,0,0,1,1,0,1,0,0,0
Satay,Skewered and grilled meat (chicken beef lamb) peanut sauce,1,1,1,1,0,0,1,1,0,1,1,0,0
Bak Kut Teh,Pork ribs pork belly or chicken herbs and spices (star anise cloves cinnamon fennel seeds garlic) mushrooms tofu fried dough youtiao soy sauce oyster sauce,1,1,1,1,0,0,1,1,0,1,0,0,0
Nasi Lemak,Rice coconut milk pandan leaves salt peanuts anchovies cucumber hard-boiled egg sambal ikan bilis fried chicken or fish,1,1,1,1,1,0,1,1,0,1,0,0,0
Chicken Satay with Peanut Sauce,Chicken skewers marinade (coconut milk soy sauce fish sauce turmeric curry powder sugar) peanut sauce (peanut butter coconut milk soy sauce sugar chili lime juice),1,1,1,1,0,0,1,1,0,1,0,0,0
Tagine,Meat (chicken lamb beef) vegetables (potatoes carrots onions etc.) dried fruits (apricots raisins etc.) nuts (almonds etc.) spices (cumin cinnamon ginger etc.),1,1,1,1,0,0,1,0,0,1,0,0,0
Couscous,Couscous water salt,0,1,1,0,0,0,0,0,0,1,0,0,0
Jollof Rice,Rice tomatoes tomato paste onions bell peppers Scotch bonnet peppers or chili powder garlic ginger bay leaves thyme stock cubes salt pepper oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Bobotie,Ground meat (beef lamb or pork) bread milk curry powder turmeric lemon juice salt pepper eggs milk,1,1,1,1,1,0,1,0,1,1,0,0,0
Injera,Teff flour water salt yeast oil,0,1,1,0,0,0,0,0,0,1,0,0,0
Doro Wat,Chicken onions berbere spice mix (chili powder fenugreek seeds ginger garlic onions cardamom cloves nutmeg) niter kibbeh (clarified butter) tomatoes,1,1,1,1,0,0,1,0,0,1,0,0,0
Bunny Chow,Hollowed-out loaf of bread filled with curry (usually chicken or mutton),1,1,1,1,0,0,1,0,0,1,0,0,0
Moambe Chicken,Chicken palm oil garlic onions tomatoes tomato paste okra spinach spices (paprika chili pepper),1,1,1,1,0,0,1,0,0,1,0,0,0
Fufu,Cassava or yam flour water salt,0,1,1,0,0,0,0,0,0,1,0,0,0
Biltong,Beef (or game meats) vinegar salt black pepper coriander sugar,1,1,0,1,0,0,1,0,0,1,0,0,0
Samosa,Pastry dough (flour water salt oil) filling (potatoes peas spices),1,1,1,1,0,0,1,0,0,1,0,0,0
Piri Piri Chicken,Chicken lemon garlic onion chilies (bird's eye or other hot peppers) vinegar paprika salt oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Suya,Beef skewers peanut spice mix (groundnut powder cayenne pepper ginger paprika onion powder garlic powder bouillon powder salt),1,1,1,1,0,0,1,0,0,1,0,0,0
Akara,Black-eyed peas onions salt chili peppers oil for frying,0,1,1,0,0,0,1,0,0,1,0,0,0
Kelewele,Ripe plantains ginger garlic chili pepper salt vegetable oil for frying,0,1,1,1,0,0,1,0,0,1,0,0,0
Ful Medames,Fava beans garlic lemon juice olive oil salt,1,1,1,1,0,0,1,0,0,1,0,0,0
Chapati,Wheat flour water salt oil or ghee,0,1,1,1,0,0,0,0,0,1,0,0,0
Maafe,Beef or chicken peanut butter tomatoes onions garlic sweet potatoes (optional) spices (paprika cumin),1,1,1,1,0,0,1,0,0,1,0,0,0
Nyama Choma,Grilled meat (beef goat or chicken) salt pepper spices (optional),1,1,1,1,0,0,1,0,0,1,0,0,0
Ugali,Maize flour water,0,1,1,0,0,0,0,0,0,1,0,0,0
Briyani,Rice (basmati or other long-grain varieties) meat (chicken beef lamb) yogurt onions tomatoes spices,1,1,1,1,0,0,1,0,0,1,0,0,0
Chakalaka,Beans tomatoes onions carrots cabbage chili peppers curry powder paprika salt pepper oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Pap en Vleis/Shisa Nyama,Pap (maize meal) grilled meat (steak lamb or chicken),1,1,1,1,0,0,1,0,0,1,0,0,0
Efo Riro,Spinach or other greens tomatoes onions bell peppers chili peppers crayfish or stock seasoning salt oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Egusi Soup,Ground melon seeds spinach or other greens tomatoes onions meat or fish (optional) seasoning salt oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Chermoula,Parsley cilantro garlic cumin paprika cayenne pepper lemon juice olive oil salt pepper,0,1,1,1,0,0,1,1,0,1,0,0,0
Shakshuka,Tomatoes bell peppers onions garlic chili peppers cumin paprika eggs salt pepper oil,1,1,1,1,0,0,1,1,0,1,0,0,0
Koshari,Rice lentils pasta (macaroni or other short pasta) chickpeas tomato sauce garlic vinegar cumin salt oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Fatayer,Dough (flour yeast water salt sugar) filling (spinach cheese meat),0,1,1,1,1,0,1,0,1,1,0,0,0
Khachapuri,Dough (flour yeast water salt sugar) cheese (Georgian sulguni or mozzarella) egg butter,0,1,1,1,1,0,1,0,1,1,0,0,0
apple_pie,flour sugar butter cinnamon apples salt,0,0,1,1,1,0,0,0,1,0,0,0,0
bread_pudding,bread milk eggs sugar vanilla extract cinnamon raisins nutmeg,1,1,1,1,1,0,0,0,1,0,0,0,0
carrot_cake,flour sugar carrots eggs oil vanilla extract cinnamon baking soda salt cream cheese butter,0,0,1,1,1,0,0,0,1,0,0,0,0
cheese_plate,assorted cheeses crackers fruits nuts,0,1,1,1,1,0,0,0,1,0,1,0,0
cheesecake,graham cracker crumbs cream cheese sugar eggs sour cream vanilla extract,0,0,1,1,1,0,0,0,1,0,0,0,0
